"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
"lambda[116]",0.00616222683782564,0.000123049328172485,0.00417896072448006,0.00133627183171143,0.0033148981807945,0.0051415321312417,0.0078288756257699,0.0166769302628356,1153.3950553341,1.00441361046461,"lambda[116]"
"lambda[117]",0.000220579580293759,2.17647250558971e-05,0.000519879735321366,3.46655093180302e-11,4.40009050057569e-07,1.89265735023548e-05,0.000196941880163148,0.00168649112258331,570.557485813184,1.0049104805655,"lambda[117]"
"lambda[118]",0.000211861262538031,2.3283944233948e-05,0.000557561084293478,2.92485875500385e-11,3.54357328029158e-07,1.6836513373424e-05,0.000171065386021029,0.00162423552732565,573.418640938055,1.0064922871884,"lambda[118]"
"lambda[119]",0.000806383290029551,2.11189803861324e-05,0.000743659551187214,8.31135070985312e-05,0.000319576650769857,0.000596592446314969,0.00103759889037515,0.00279196401111291,1239.9450142002,1.00089820776616,"lambda[119]"
"lambda[120]",0.008607939020307,0.0001170802629996,0.00711792139806488,0.00152248909715656,0.00416914370891328,0.00670669492581712,0.0105351130432913,0.0275865652460897,3696.05986669491,0.999842012777479,"lambda[120]"
"lambda[121]",0.0116125787751977,0.000218720760731018,0.0115133146130547,0.00215781323426753,0.00529235045373012,0.00868124886639989,0.0143102650208492,0.0382123220333069,2770.89921258533,1.00048806133958,"lambda[121]"
"lambda[122]",0.00791259292203576,7.7713552740448e-05,0.00488096192435215,0.00212119933003728,0.00463253910589201,0.00680104047901681,0.00985288443771076,0.0201543725377934,3944.73026843349,0.999831412874841,"lambda[122]"
"lambda[123]",0.0116808528040159,0.000202658773147683,0.0108271607179531,0.00230434639106786,0.00546517803508359,0.00878422617954315,0.0140375605707434,0.0408525394396181,2854.29166007453,1.00028990884563,"lambda[123]"
"lambda[124]",0.0094313518426039,0.00011655025663573,0.0067186094194157,0.00235656390768472,0.00518130575935429,0.00775344220656392,0.0116898524605945,0.0260624603206156,3323.01514544387,0.999882933734344,"lambda[124]"
"lambda[125]",0.00290666110168638,4.48502685328238e-05,0.00189375905838035,0.000587087661691447,0.00155124644322239,0.00247933520561208,0.00378310486249184,0.00765408184371241,1782.86866113039,1.00115163011236,"lambda[125]"
"lambda[126]",0.00611804960095875,9.95983718559414e-05,0.00398065087038871,0.0013390526593341,0.00333948321718891,0.0051686851102323,0.00788519247568563,0.0162744708363571,1597.36328996831,1.00236079487543,"lambda[126]"
"lambda[127]",0.00243709587823642,4.68133573843389e-05,0.00176497209367818,0.000414935879593064,0.00121610410548357,0.001974753706808,0.00316449672972284,0.00709324973664076,1421.46479372949,1.0018584491041,"lambda[127]"
"lambda[128]",0.00320772259268963,5.24525864191162e-05,0.0021227850866098,0.00060380887845084,0.00171387426282102,0.00270844309543767,0.00416363460338857,0.00867246544956322,1637.86551807751,1.00102788221307,"lambda[128]"
"lambda[129]",0.00114877819913302,3.31494497829514e-05,0.00104990703562035,0.000136712722181189,0.000476377488566753,0.000855176954950982,0.00146918032869614,0.00385483133949479,1003.11111659229,1.00340754157527,"lambda[129]"
"lambda[130]",0.00330139273013815,4.7363111632358e-05,0.00260363504992841,0.000468554099414716,0.001578753375166,0.00258328886496514,0.00425739452862541,0.00998738271195537,3021.89775041914,1.00009880968724,"lambda[130]"
